iter	MultiClass
0	2.379004799
1	1.988837374
2	1.711359908
3	1.509321247
4	1.339854846
5	1.206810302
6	1.084476034
7	0.9848103473
8	0.8966260249
9	0.8227158665
10	0.7524792132
11	0.6993527247
12	0.6482868594
13	0.602139895
14	0.563347107
15	0.527568455
16	0.4923879905
17	0.4632714568
18	0.4346030519
19	0.4096234218
20	0.3883982426
21	0.3662679328
22	0.3475392617
23	0.3323947666
24	0.3159932419
25	0.2988083966
26	0.2840371607
27	0.2688583985
28	0.2579434847
29	0.2451899953
30	0.2359878988
31	0.2254884854
32	0.2163901333
33	0.2067996093
34	0.1969850467
35	0.1887114419
36	0.1810675517
37	0.1741712838
38	0.1669116653
39	0.1618199354
40	0.1560510443
41	0.1519565666
42	0.146512891
43	0.1408889604
44	0.1366831878
45	0.1324486832
46	0.1283363141
47	0.1253478325
48	0.1217920485
49	0.117479194
50	0.1140860785
51	0.1105335279
52	0.1078842451
53	0.1049600106
54	0.1025299045
55	0.09926814786
56	0.09705162969
57	0.09520027634
58	0.0932149496
59	0.09115284146
60	0.08930409196
61	0.08714714395
62	0.08508582043
63	0.08278181385
64	0.08132721566
65	0.07965469241
66	0.07752819004
67	0.07586526113
68	0.07482188487
69	0.07324325837
70	0.07149489324
71	0.07012452877
72	0.06901285776
73	0.06771085923
74	0.06658397986
75	0.06550891602
76	0.06433796357
77	0.06349532224
78	0.06225193094
79	0.061155939
80	0.06020042904
81	0.05896656517
82	0.05826849865
83	0.05743660838
84	0.0565136041
85	0.05556889571
86	0.05486666043
87	0.05408282544
88	0.05295313931
89	0.05201252621
90	0.05128926857
91	0.05075896156
92	0.04997964434
93	0.04907815114
94	0.04824243305
95	0.0475499173
96	0.04680322306
97	0.04633964891
98	0.04562478558
99	0.0451111753
100	0.04458414481
101	0.04401838674
102	0.04374283849
103	0.04336409518
104	0.04273695735
105	0.04234548539
106	0.04187507638
107	0.04144871985
108	0.04078024301
109	0.0404723714
110	0.03991053092
111	0.03948411464
112	0.03873352382
113	0.03839100712
114	0.03794848166
115	0.03742527996
116	0.03702189151
117	0.03668776721
118	0.03636887887
119	0.03614179868
120	0.03567744318
121	0.03534295462
122	0.03511237057
123	0.03479848765
124	0.03456253598
125	0.03429123383
126	0.033869866
127	0.03346021409
128	0.03317511179
129	0.03284316902
130	0.03241772398
131	0.0320567132
132	0.0317299775
133	0.03151317982
134	0.0311929596
135	0.03095267132
136	0.03070057789
137	0.03030570509
138	0.02998354644
139	0.02965987215
140	0.02919639567
141	0.02898672307
142	0.02880476338
143	0.02858717167
144	0.02814936298
145	0.02784336749
146	0.02764990636
147	0.02744291133
148	0.02728777971
149	0.02703300957
150	0.02676130611
151	0.02654139494
152	0.02631398896
153	0.02617658515
154	0.0259034361
155	0.02574963413
156	0.02557068936
157	0.02541095991
158	0.02523082452
159	0.02498232414
160	0.02479773416
161	0.02459151684
162	0.02444205343
163	0.02431050084
164	0.02418931397
165	0.02398935051
166	0.02385691256
167	0.02367914007
168	0.02349695565
169	0.02341106023
170	0.02331028354
171	0.02321939942
172	0.02302608462
173	0.02287060922
174	0.02271718622
175	0.02258220997
176	0.02241611124
177	0.02229991152
178	0.02216617522
179	0.02202083637
180	0.02187605424
181	0.02170170569
182	0.02155301669
183	0.02134106033
184	0.02123561414
185	0.02112743229
186	0.02099078298
187	0.02083288102
188	0.02071905467
189	0.02061119835
190	0.02050788212
191	0.02036830126
192	0.02028505455
193	0.02016295785
194	0.02008976261
195	0.01998178728
196	0.01988472603
197	0.01973892332
198	0.01961090429
199	0.01946421861
200	0.019283453
201	0.01912950419
202	0.01904781403
203	0.01894699662
204	0.01877376021
205	0.01866833329
206	0.01858121926
207	0.0184913849
208	0.01839325667
209	0.01830987437
210	0.01812656778
211	0.01805039486
212	0.01793623196
213	0.01783124366
214	0.01774583407
215	0.01765978586
216	0.01760495057
217	0.01749819263
218	0.0174030982
219	0.01730368323
220	0.0171956224
221	0.017107525
222	0.01703924279
223	0.01690798209
224	0.01683269141
225	0.01675139727
226	0.01670286615
227	0.01658763638
228	0.01650104766
229	0.01640474798
230	0.01632580289
231	0.01627040308
232	0.01623153446
233	0.01615814698
234	0.01603562369
235	0.01596120915
236	0.01581642365
237	0.01574325834
238	0.01567654044
239	0.01560640255
240	0.01554161673
241	0.01545512977
242	0.01540492636
243	0.01534294563
244	0.01527608615
245	0.01521177244
246	0.01513828453
247	0.01509037194
248	0.0150556603
249	0.01496091685
250	0.01490470263
251	0.0148252928
252	0.01478869492
253	0.01474303981
254	0.014690777
255	0.01462917059
256	0.01458386692
257	0.01450367253
258	0.0144361929
259	0.01439477922
260	0.01429452926
261	0.0142449328
262	0.0141877059
263	0.01415331546
264	0.01410367907
265	0.01399968864
266	0.01390661045
267	0.01381653883
268	0.01376043666
269	0.01371712533
270	0.01366153943
271	0.01361541447
272	0.01350463087
273	0.01344179478
274	0.01337282233
275	0.01333729038
276	0.01325667579
277	0.01318495534
278	0.01315142175
279	0.0131177652
280	0.01307947869
281	0.01301580728
282	0.01296351491
283	0.01293314066
284	0.01286163565
285	0.01280689375
286	0.01276495601
287	0.01270149729
288	0.01264748621
289	0.01261546088
290	0.01257452949
291	0.01254109658
292	0.01249242428
293	0.01240369929
294	0.01236022654
295	0.01231281103
296	0.01226473687
297	0.01221648485
298	0.01217511016
299	0.01214077368
